transport,vehicle_type,vehicle_monthly_distance_km,frequency_of_traveling_by_air,region,heating_energy_source,how_long_tv_pc_daily_hour,how_long_internet_daily_hour,diet,monthly_grocery_bill,how_many_new_clothes_monthly,waste_bag_size,waste_bag_weekly_count,recycling,cooking_with,grid_factor,grocery_factor,household_size,country,carbon_emission_kgco2e_month
public,none,222.8,rarely,mixed,natural gas,2.0,11.5,vegetarian,185.5,0,medium,3,['paper'],"['stove', 'oven']",0.21741,0.44,2,uk,337.4
walk/bicycle,none,117.8,rarely,mixed,electricity,4.5,5.0,vegetarian,249.6,1,medium,2,"['plastic', 'glass']","['stove', 'oven', 'microwave', 'grill']",0.3844,0.36,3,us,361.9
private,petrol,141.7,never,mixed,electricity,5.5,8.0,vegetarian,299.4,1,small,1,['none'],"['stove', 'microwave']",0.21741,0.44,2,uk,328.6
private,petrol,425.7,rarely,mixed,natural gas,5.0,7.5,vegan,685.0,0,medium,1,['none'],"['stove', 'microwave', 'grill']",0.3844,0.36,4,us,481.7
private,none,123.0,rarely,mixed,electricity,4.5,7.0,omnivore,932.1,1,small,2,['paper'],"['oven', 'microwave', 'airfryer']",0.67013,0.11,2,india,463.2
private,petrol,64.3,rarely,mixed,wood,6.0,4.0,vegetarian,315.6,2,small,4,"['plastic', 'metal']","['stove', 'microwave', 'airfryer']",0.21741,0.44,1,uk,422.2
public,none,25.5,rarely,mixed,natural gas,10.0,8.5,vegan,714.5,1,medium,3,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,647.4
private,petrol,91.3,rarely,renewable_heavy,natural gas,3.0,7.0,vegetarian,434.7,1,large,6,['none'],"['stove', 'microwave']",0.048,0.44,3,uk,523.9
public,none,67.4,rarely,mixed,natural gas,10.0,2.0,omnivore,1158.8,2,small,3,"['paper', 'plastic', 'metal', 'glass']",['none'],0.67013,0.11,3,india,490.9
private,petrol,47.6,rarely,mixed,natural gas,1.0,5.5,vegetarian,787.7,0,medium,12,"['paper', 'plastic']","['stove', 'oven']",0.3844,0.36,4,us,600.3
private,petrol,69.0,rarely,mixed,electricity,0.0,5.5,omnivore,1664.0,3,medium,5,['none'],"['stove', 'airfryer']",0.67013,0.11,1,india,796.0
public,none,74.3,very frequently,mixed,natural gas,7.0,4.0,vegan,469.7,2,small,2,['none'],"['oven', 'airfryer']",0.21741,0.44,1,uk,861.3
private,diesel,70.0,rarely,mixed,wood,4.5,2.0,omnivore,290.0,2,small,2,['paper'],"['stove', 'oven', 'microwave']",0.3844,0.36,1,us,507.3
private,petrol,629.5,never,mixed,natural gas,0.5,2.5,omnivore,628.8,2,small,2,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.21741,0.44,2,uk,669.9
private,hybrid,41.1,very frequently,renewable_heavy,wood,4.5,6.5,vegan,371.9,0,extra large,4,['none'],['stove'],0.085,0.36,2,us,866.3
private,electric,304.9,very frequently,mixed,natural gas,3.0,4.0,vegetarian,2259.6,1,small,3,['none'],"['stove', 'microwave']",0.67013,0.11,1,india,996.0
private,petrol,293.5,very frequently,mixed,electricity,5.0,6.5,vegetarian,163.2,5,large,4,['none'],['none'],0.3844,0.36,1,us,1057.6
private,hybrid,315.3,never,renewable_heavy,electricity,3.5,4.5,omnivore,4553.1,3,small,1,['none'],"['microwave', 'grill']",0.147,0.11,1,india,943.1
public,none,173.6,never,mixed,electricity,7.5,4.5,omnivore,749.1,1,large,2,"['paper', 'plastic']",['stove'],0.21741,0.44,4,uk,595.2
private,petrol,566.2,never,mixed,natural gas,4.5,2.5,omnivore,232.8,3,large,1,['paper'],"['stove', 'oven', 'microwave', 'grill']",0.3844,0.36,2,us,536.9
walk/bicycle,none,181.4,often,mixed,wood,5.0,3.5,vegetarian,848.7,4,extra large,3,['metal'],['none'],0.21741,0.44,1,uk,1020.3
public,none,149.9,rarely,mixed,natural gas,4.0,5.0,omnivore,956.4,5,extra large,1,"['paper', 'plastic', 'glass']","['microwave', 'grill']",0.67013,0.11,2,india,525.2
private,diesel,517.8,never,mixed,electricity,6.0,0.5,omnivore,182.1,3,extra large,2,['plastic'],['none'],0.21741,0.44,1,uk,663.7
private,diesel,155.0,never,renewable_heavy,electricity,4.0,5.5,vegetarian,325.6,6,small,1,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.048,0.44,1,uk,420.8
public,none,43.3,often,mixed,electricity,6.5,5.0,pescatarian,404.2,2,medium,3,['none'],"['stove', 'microwave']",0.21741,0.44,1,uk,682.5
private,petrol,284.5,rarely,mixed,electricity,1.0,1.0,vegetarian,3258.1,3,large,7,['none'],"['stove', 'airfryer']",0.67013,0.11,6,india,708.7
private,petrol,481.2,rarely,renewable_heavy,wood,4.5,4.5,vegan,424.5,1,small,4,"['paper', 'plastic']",['none'],0.085,0.36,2,us,407.0
private,diesel,236.0,never,mixed,electricity,3.0,0.0,omnivore,1114.7,3,small,5,['none'],['stove'],0.67013,0.11,1,india,569.8
public,none,130.9,never,renewable_heavy,natural gas,2.0,4.0,omnivore,3604.5,2,medium,8,"['paper', 'metal']","['stove', 'oven', 'microwave']",0.147,0.11,1,india,887.5
private,diesel,229.3,rarely,mixed,natural gas,1.0,5.0,omnivore,405.3,3,large,4,['none'],"['stove', 'oven', 'microwave', 'grill']",0.3844,0.36,2,us,735.0
private,diesel,335.2,never,mixed,natural gas,2.0,7.5,vegetarian,519.6,5,large,3,['plastic'],"['stove', 'oven']",0.21741,0.44,2,uk,629.3
private,petrol,71.6,never,renewable_heavy,electricity,5.0,12.0,vegan,617.3,1,large,1,['none'],"['oven', 'microwave', 'airfryer']",0.048,0.44,2,uk,465.2
public,none,28.9,rarely,mixed,electricity,5.5,5.5,vegetarian,1471.5,6,medium,4,['glass'],"['stove', 'oven', 'microwave', 'grill']",0.67013,0.11,1,india,677.2
private,petrol,160.2,never,mixed,electricity,6.0,6.0,omnivore,1743.3,3,large,2,"['paper', 'plastic']",['none'],0.67013,0.11,1,india,679.8
public,none,461.1,very frequently,renewable_heavy,electricity,3.0,1.0,vegetarian,638.5,2,small,3,['none'],['oven'],0.085,0.36,1,us,926.7
private,none,65.2,rarely,renewable_heavy,electricity,6.5,4.5,vegetarian,3400.4,1,extra large,4,['paper'],"['stove', 'microwave']",0.147,0.11,5,india,640.6
private,petrol,57.3,never,renewable_heavy,electricity,4.0,4.0,omnivore,1431.1,1,medium,2,['none'],['stove'],0.147,0.11,5,india,439.3
private,none,217.5,never,mixed,natural gas,6.0,0.5,pescatarian,438.7,4,large,3,['none'],['stove'],0.3844,0.36,3,us,484.6
private,electric,147.1,rarely,mixed,electricity,4.5,9.5,omnivore,933.7,2,extra large,1,['paper'],['stove'],0.67013,0.11,1,india,621.8
private,diesel,97.2,rarely,mixed,natural gas,2.5,6.0,omnivore,357.5,4,medium,1,['none'],"['stove', 'oven', 'microwave']",0.3844,0.36,1,us,606.2
public,none,516.4,rarely,mixed,electricity,1.0,6.5,omnivore,1009.6,3,medium,2,['none'],['stove'],0.3844,0.36,3,us,781.4
private,petrol,99.1,often,mixed,electricity,1.5,9.5,omnivore,133.7,1,medium,1,['plastic'],"['stove', 'oven', 'microwave']",0.21741,0.44,3,uk,487.9
walk/bicycle,none,250.4,rarely,mixed,electricity,2.0,1.5,vegetarian,992.8,1,small,7,['none'],"['microwave', 'airfryer']",0.21741,0.44,1,uk,800.3
private,lpg,385.9,rarely,mixed,electricity,3.0,1.5,vegetarian,5000.0,1,large,2,['metal'],['none'],0.67013,0.11,1,india,1081.9
private,none,150.4,never,mixed,electricity,6.0,8.5,vegetarian,189.5,3,extra large,3,['plastic'],['microwave'],0.21741,0.44,6,uk,252.2
